iter	Passed	Remaining
0	153	153653
1	156	78318
2	158	52756
3	160	39945
4	162	32293
5	164	27174
6	165	23515
7	167	20768
8	169	18694
9	173	17160
10	174	15730
11	176	14561
12	178	13562
13	180	12706
14	182	11973
15	184	11321
16	187	10844
17	188	10310
18	191	9862
19	192	9451
20	194	9075
21	196	8726
22	197	8407
23	199	8113
24	202	7913
25	206	7717
26	207	7488
27	209	7273
28	211	7072
29	213	6899
30	216	6771
31	220	6660
32	222	6522
33	224	6370
34	226	6231
35	227	6101
36	229	5971
37	233	5898
38	234	5783
39	236	5672
40	238	5567
41	239	5467
42	241	5370
43	242	5278
44	245	5200
45	246	5120
46	248	5038
47	250	4958
48	251	4886
49	253	4819
50	255	4753
51	257	4688
52	263	4703
53	265	4642
54	266	4581
55	268	4524
56	270	4468
57	271	4412
58	275	4393
59	277	4348
60	278	4294
61	280	4247
62	282	4200
63	284	4155
64	286	4117
65	288	4077
66	291	4057
67	293	4018
68	294	3975
69	296	3937
70	297	3899
71	299	3863
72	302	3836
73	305	3824
74	308	3800
75	309	3766
76	311	3732
77	313	3700
78	316	3687
79	322	3711
80	327	3712
81	332	3726
82	334	3694
83	336	3665
84	337	3635
85	339	3606
86	341	3578
87	343	3555
88	344	3529
89	348	3519
90	349	3494
91	351	3469
92	353	3444
93	355	3425
94	357	3404
95	359	3380
96	360	3357
97	363	3347
98	365	3325
99	367	3303
100	372	3319
101	385	3390
102	388	3385
103	392	3385
104	394	3366
105	398	3359
106	405	3383
107	417	3449
108	419	3430
109	421	3409
110	426	3412
111	427	3391
112	429	3371
113	431	3350
114	432	3330
115	434	3311
116	435	3287
117	437	3270
118	440	3264
119	442	3245
120	444	3227
121	445	3206
122	447	3189
123	448	3171
124	450	3154
125	452	3140
126	457	3143
127	458	3126
128	461	3114
129	462	3097
130	464	3081
131	466	3066
132	467	3050
133	472	3054
134	474	3040
135	476	3026
136	478	3011
137	479	2996
138	481	2981
139	483	2967
140	486	2965
141	487	2947
142	489	2933
143	491	2920
144	492	2905
145	494	2892
146	496	2880
147	498	2872
148	504	2879
149	506	2871
150	508	2860
151	511	2851
152	518	2872
153	522	2868
154	524	2857
155	526	2848
156	528	2840
157	532	2839
158	535	2832
159	537	2822
160	538	2807
161	541	2798
162	543	2789
163	545	2781
164	548	2773
165	550	2763
166	551	2753
167	554	2746
168	556	2738
169	559	2729
170	566	2746
171	569	2742
172	572	2735
173	574	2727
174	579	2732
175	581	2724
176	586	2725
177	588	2717
178	590	2708
179	594	2707
180	596	2698
181	598	2689
182	600	2681
183	602	2672
184	604	2664
185	609	2667
186	612	2663
187	615	2659
188	617	2650
189	620	2643
190	622	2636
191	624	2628
192	626	2621
193	630	2617
194	632	2609
195	634	2601
196	636	2593
197	639	2591
198	641	2583
199	643	2574
200	645	2566
201	647	2558
202	649	2549
203	651	2541
204	654	2539
205	656	2531
206	658	2523
207	660	2515
208	662	2508
209	664	2500
210	666	2493
211	670	2492
212	672	2484
213	674	2476
214	676	2469
215	678	2461
216	680	2454
217	681	2446
218	686	2448
219	688	2441
220	690	2434
221	692	2427
222	694	2419
223	696	2411
224	701	2415
225	704	2412
226	706	2405
227	708	2397
228	710	2390
229	712	2385
230	720	2398
231	722	2391
232	724	2384
233	726	2377
234	728	2370
235	732	2372
236	734	2365
237	736	2357
238	738	2350
239	739	2343
240	742	2338
241	746	2339
242	748	2331
243	753	2333
244	759	2340
245	763	2339
246	765	2332
247	766	2325
248	768	2318
249	771	2313
250	773	2307
251	774	2300
252	778	2298
253	780	2292
254	782	2285
255	784	2279
256	787	2275
257	789	2269
258	790	2262
259	794	2260
260	795	2253
261	797	2246
262	799	2240
263	801	2233
264	802	2226
265	804	2219
266	806	2213
267	810	2214
268	813	2209
269	814	2202
270	818	2201
271	820	2194
272	826	2200
273	829	2196
274	831	2193
275	833	2186
276	835	2179
277	838	2176
278	839	2169
279	841	2163
280	842	2156
281	844	2150
282	846	2144
283	848	2137
284	849	2131
285	851	2125
286	854	2122
287	856	2117
288	858	2111
289	859	2105
290	861	2099
291	863	2093
292	864	2087
293	871	2092
294	872	2085
295	874	2079
296	876	2073
297	877	2067
298	879	2061
299	883	2062
300	890	2067
301	891	2061
302	893	2055
303	897	2055
304	900	2051
305	902	2045
306	903	2039
307	905	2033
308	906	2027
309	908	2021
310	910	2016
311	913	2014
312	914	2008
313	916	2002
314	918	1996
315	919	1990
316	921	1984
317	922	1978
318	924	1974
319	927	1971
320	929	1965
321	930	1959
322	932	1954
323	934	1949
324	935	1943
325	939	1941
326	942	1940
327	944	1935
328	946	1929
329	947	1924
330	949	1918
331	951	1913
332	953	1909
333	954	1904
334	956	1898
335	959	1895
336	960	1889
337	962	1884
338	963	1879
339	965	1874
340	970	1876
341	977	1881
342	984	1885
343	993	1893
344	1000	1898
345	1003	1896
346	1006	1894
347	1008	1888
348	1009	1883
349	1011	1878
350	1013	1873
351	1014	1868
352	1016	1863
353	1018	1858
354	1023	1860
355	1025	1855
356	1027	1850
357	1028	1844
358	1030	1839
359	1032	1834
360	1033	1829
361	1038	1830
362	1040	1825
363	1042	1821
364	1045	1819
365	1047	1814
366	1049	1809
367	1052	1807
368	1054	1803
